Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530100707
Firmware Version,3.0
Calibration Date,06/18/2013
Test Name,8530C_2-5_001
Test Start Time,01:01:07 PM
Test Start Date,07/16/2014
Test Length [D:H:M],0:0:54
Test Interval [M:S],0:1
Mass Average [mg/m3],0.012
Mass Minimum [mg/m3],0.001
Mass Maximum [mg/m3],0.157
Mass TWA [mg/m3],0.001
Photometric User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,3259

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
682,0.012,,
683,0.012,,
684,0.011,,
685,0.011,,
686,0.010,,
687,0.011,,
688,0.012,,
689,0.011,,
690,0.011,,
691,0.011,,
692,0.011,,
693,0.011,,
694,0.011,,
695,0.011,,
696,0.011,,
697,0.011,,
698,0.010,,
699,0.011,,
700,0.011,,
701,0.012,,
702,0.012,,
703,0.011,,
704,0.011,,
705,0.011,,
706,0.011,,
707,0.012,,
708,0.013,,
709,0.012,,
710,0.011,,
711,0.012,,
712,0.012,,
713,0.012,,
714,0.013,,
715,0.011,,
716,0.012,,
717,0.012,,
718,0.011,,
719,0.012,,
720,0.012,,
721,0.012,,
722,0.012,,
723,0.012,,
724,0.013,,
725,0.012,,
726,0.011,,
727,0.011,,
728,0.011,,
729,0.010,,
730,0.011,,
731,0.010,,
732,0.010,,
733,0.011,,
734,0.011,,
735,0.011,,
736,0.010,,
737,0.012,,
738,0.011,,
739,0.011,,
740,0.011,,
741,0.011,,
742,0.011,,
743,0.011,,
744,0.012,,
745,0.011,,
746,0.011,,
747,0.011,,
748,0.012,,
749,0.012,,
750,0.011,,
751,0.012,,
752,0.011,,
753,0.012,,
754,0.013,,
755,0.014,,
756,0.013,,
757,0.012,,
758,0.011,,
759,0.013,,
760,0.012,,
761,0.012,,
762,0.013,,
763,0.012,,
764,0.011,,
765,0.011,,
766,0.013,,
767,0.012,,
768,0.012,,
769,0.012,,
770,0.011,,
771,0.011,,
772,0.012,,
773,0.012,,
774,0.013,,
775,0.012,,
776,0.012,,
777,0.012,,
778,0.012,,
779,0.011,,
780,0.012,,
781,0.012,,
782,0.012,,
783,0.012,,
784,0.012,,
785,0.012,,
786,0.011,,
787,0.013,,
788,0.013,,
789,0.011,,
790,0.011,,
791,0.012,,
792,0.013,,
793,0.013,,
794,0.013,,
795,0.012,,
796,0.013,,
797,0.013,,
798,0.012,,
799,0.012,,
800,0.011,,
801,0.012,,
802,0.012,,
803,0.012,,
804,0.012,,
805,0.012,,
806,0.013,,
807,0.012,,
808,0.011,,
809,0.011,,
810,0.011,,
811,0.011,,
812,0.011,,
813,0.010,,
814,0.011,,
815,0.011,,
816,0.010,,
817,0.011,,
818,0.011,,
819,0.011,,
820,0.011,,
821,0.011,,
822,0.010,,
823,0.011,,
824,0.011,,
825,0.010,,
826,0.011,,
827,0.011,,
828,0.011,,
829,0.012,,
830,0.011,,
831,0.011,,
832,0.012,,
833,0.012,,
834,0.010,,
835,0.011,,
836,0.011,,
837,0.011,,
838,0.012,,
839,0.011,,
840,0.011,,
841,0.012,,
842,0.012,,
843,0.012,,
844,0.012,,
845,0.012,,
846,0.011,,
847,0.011,,
848,0.011,,
849,0.011,,
850,0.012,,
851,0.011,,
852,0.011,,
853,0.011,,
854,0.012,,
855,0.012,,
856,0.011,,
857,0.011,,
858,0.010,,
859,0.010,,
860,0.010,,
861,0.010,,
862,0.011,,
863,0.011,,
864,0.011,,
865,0.010,,
866,0.011,,
867,0.011,,
868,0.010,,
869,0.011,,
870,0.011,,
871,0.011,,
872,0.012,,
873,0.012,,
874,0.012,,
875,0.012,,
876,0.012,,
877,0.012,,
878,0.013,,
879,0.012,,
880,0.011,,
881,0.011,,
882,0.010,,
883,0.012,,
884,0.013,,
885,0.011,,
886,0.010,,
887,0.010,,
888,0.010,,
889,0.011,,
890,0.012,,
891,0.012,,
892,0.011,,
893,0.010,,
894,0.012,,
895,0.013,,
896,0.012,,
897,0.012,,
898,0.013,,
899,0.012,,
900,0.012,,
901,0.011,,
902,0.011,,
903,0.013,,
904,0.013,,
905,0.012,,
906,0.012,,
907,0.012,,
908,0.011,,
909,0.011,,
910,0.012,,
911,0.012,,
912,0.011,,
913,0.011,,
914,0.011,,
915,0.012,,
916,0.013,,
917,0.013,,
918,0.012,,
919,0.012,,
920,0.012,,
921,0.012,,
922,0.011,,
923,0.012,,
924,0.012,,
925,0.012,,
926,0.012,,
927,0.011,,
928,0.012,,
929,0.012,,
930,0.012,,
931,0.012,,
932,0.013,,
933,0.012,,
934,0.013,,
935,0.013,,
936,0.011,,
937,0.012,,
938,0.011,,
939,0.011,,
940,0.011,,
941,0.012,,
942,0.012,,
943,0.013,,
944,0.013,,
945,0.012,,
946,0.011,,
947,0.012,,
948,0.012,,
949,0.012,,
950,0.012,,
951,0.011,,
952,0.010,,
953,0.011,,
954,0.012,,
955,0.011,,
956,0.011,,
957,0.012,,
958,0.014,,
959,0.013,,
960,0.011,,
961,0.011,,
962,0.010,,
963,0.011,,
964,0.012,,
965,0.013,,
966,0.012,,
967,0.012,,
968,0.011,,
969,0.010,,
970,0.011,,
971,0.011,,
972,0.011,,
973,0.012,,
974,0.010,,
975,0.010,,
976,0.011,,
977,0.012,,
978,0.012,,
979,0.011,,
980,0.011,,
981,0.011,,
982,0.010,,
983,0.011,,
984,0.012,,
985,0.011,,
986,0.011,,
987,0.012,,
988,0.011,,
989,0.012,,
990,0.012,,
991,0.012,,
992,0.011,,
993,0.011,,
994,0.011,,
995,0.010,,
996,0.011,,
997,0.012,,
998,0.011,,
999,0.010,,
1000,0.011,,
1001,0.011,,
1002,0.010,,
1003,0.010,,
1004,0.011,,
1005,0.012,,
1006,0.012,,
1007,0.012,,
1008,0.012,,
1009,0.012,,
1010,0.012,,
1011,0.013,,
1012,0.010,,
1013,0.011,,
1014,0.011,,
1015,0.011,,
1016,0.013,,
1017,0.012,,
1018,0.011,,
1019,0.012,,
1020,0.011,,
1021,0.012,,
1022,0.012,,
1023,0.012,,
1024,0.010,,
1025,0.011,,
1026,0.012,,
1027,0.013,,
1028,0.012,,
1029,0.011,,
1030,0.011,,
1031,0.011,,
1032,0.012,,
1033,0.012,,
1034,0.011,,
1035,0.011,,
1036,0.010,,
1037,0.011,,
1038,0.012,,
1039,0.011,,
1040,0.011,,
1041,0.011,,
1042,0.010,,
1043,0.010,,
1044,0.011,,
1045,0.011,,
1046,0.011,,
1047,0.011,,
1048,0.011,,
1049,0.011,,
1050,0.011,,
1051,0.012,,
1052,0.011,,
1053,0.010,,
1054,0.011,,
1055,0.011,,
1056,0.012,,
1057,0.012,,
1058,0.012,,
1059,0.011,,
1060,0.011,,
1061,0.011,,
1062,0.011,,
1063,0.011,,
1064,0.010,,
1065,0.010,,
1066,0.010,,
1067,0.010,,
1068,0.011,,
1069,0.011,,
1070,0.011,,
1071,0.012,,
1072,0.012,,
1073,0.012,,
1074,0.012,,
1075,0.011,,
1076,0.011,,
1077,0.011,,
1078,0.012,,
1079,0.012,,
1080,0.012,,
1081,0.012,,
1082,0.012,,
1083,0.011,,
1084,0.011,,
1085,0.012,,
1086,0.012,,
1087,0.011,,
1088,0.011,,
1089,0.012,,
1090,0.010,,
1091,0.010,,
1092,0.011,,
1093,0.011,,
1094,0.010,,
1095,0.010,,
1096,0.011,,
1097,0.012,,
1098,0.013,,
1099,0.011,,
1100,0.010,,
1101,0.011,,
1102,0.012,,
1103,0.011,,
1104,0.012,,
1105,0.012,,
1106,0.010,,
1107,0.011,,
1108,0.011,,
1109,0.011,,
1110,0.011,,
1111,0.012,,
1112,0.012,,
1113,0.011,,
1114,0.012,,
1115,0.012,,
1116,0.011,,
1117,0.010,,
1118,0.011,,
1119,0.011,,
1120,0.010,,
1121,0.011,,
1122,0.011,,
1123,0.011,,
1124,0.011,,
1125,0.011,,
1126,0.012,,
1127,0.012,,
1128,0.012,,
1129,0.012,,
1130,0.011,,
1131,0.011,,
1132,0.012,,
1133,0.012,,
1134,0.013,,
1135,0.013,,
1136,0.011,,
1137,0.012,,
1138,0.012,,
1139,0.011,,
1140,0.011,,
1141,0.011,,
1142,0.013,,
1143,0.011,,
1144,0.011,,
1145,0.012,,
1146,0.012,,
1147,0.012,,
1148,0.012,,
1149,0.012,,
1150,0.011,,
1151,0.011,,
1152,0.011,,
1153,0.011,,
1154,0.012,,
1155,0.013,,
1156,0.011,,
1157,0.010,,
1158,0.012,,
1159,0.012,,
1160,0.012,,
1161,0.012,,
1162,0.011,,
1163,0.012,,
1164,0.011,,
1165,0.012,,
1166,0.011,,
1167,0.011,,
1168,0.011,,
1169,0.011,,
1170,0.011,,
1171,0.011,,
1172,0.010,,
1173,0.012,,
1174,0.013,,
1175,0.011,,
1176,0.013,,
1177,0.015,,
1178,0.012,,
1179,0.011,,
1180,0.012,,
1181,0.012,,
1182,0.012,,
1183,0.011,,
1184,0.011,,
1185,0.012,,
1186,0.013,,
1187,0.011,,
1188,0.012,,
1189,0.012,,
1190,0.011,,
1191,0.013,,
1192,0.013,,
1193,0.011,,
1194,0.011,,
1195,0.011,,
1196,0.012,,
1197,0.011,,
1198,0.010,,
1199,0.012,,
1200,0.012,,
1201,0.011,,
1202,0.012,,
1203,0.013,,
1204,0.013,,
1205,0.012,,
1206,0.011,,
1207,0.011,,
1208,0.012,,
1209,0.012,,
1210,0.012,,
1211,0.012,,
1212,0.013,,
1213,0.012,,
1214,0.012,,
1215,0.011,,
1216,0.011,,
1217,0.011,,
1218,0.012,,
1219,0.012,,
1220,0.013,,
1221,0.013,,
1222,0.012,,
1223,0.012,,
1224,0.013,,
1225,0.015,,
1226,0.015,,
1227,0.012,,
1228,0.012,,
1229,0.011,,
1230,0.011,,
1231,0.010,,
1232,0.010,,
1233,0.012,,
1234,0.012,,
1235,0.011,,
1236,0.012,,
1237,0.012,,
1238,0.012,,
1239,0.012,,
1240,0.012,,
1241,0.011,,
1242,0.012,,
1243,0.012,,
1244,0.012,,
1245,0.011,,
1246,0.012,,
1247,0.012,,
1248,0.013,,
1249,0.012,,
1250,0.011,,
1251,0.012,,
1252,0.011,,
1253,0.012,,
1254,0.012,,
1255,0.012,,
1256,0.012,,
1257,0.011,,
1258,0.012,,
1259,0.012,,
1260,0.012,,
1261,0.012,,
1262,0.011,,
1263,0.012,,
1264,0.011,,
1265,0.012,,
1266,0.012,,
1267,0.011,,
1268,0.010,,
1269,0.011,,
1270,0.011,,
1271,0.011,,
1272,0.011,,
1273,0.012,,
1274,0.011,,
1275,0.011,,
1276,0.012,,
1277,0.012,,
1278,0.011,,
1279,0.011,,
1280,0.012,,
1281,0.012,,
1282,0.012,,
1283,0.012,,
1284,0.011,,
1285,0.011,,
1286,0.012,,
1287,0.012,,
1288,0.012,,
1289,0.012,,
1290,0.012,,
1291,0.013,,
1292,0.013,,
1293,0.012,,
1294,0.012,,
1295,0.011,,
1296,0.013,,
1297,0.012,,
1298,0.010,,
1299,0.012,,
1300,0.012,,
1301,0.012,,
1302,0.012,,
1303,0.012,,
1304,0.012,,
1305,0.013,,
1306,0.011,,
1307,0.011,,
1308,0.010,,
1309,0.011,,
1310,0.012,,
1311,0.013,,
1312,0.012,,
1313,0.012,,
1314,0.014,,
1315,0.012,,
1316,0.011,,
1317,0.011,,
1318,0.012,,
1319,0.012,,
1320,0.010,,
1321,0.011,,
1322,0.011,,
1323,0.010,,
1324,0.011,,
1325,0.012,,
1326,0.012,,
1327,0.012,,
1328,0.013,,
1329,0.012,,
1330,0.013,,
1331,0.012,,
1332,0.011,,
1333,0.012,,
1334,0.013,,
1335,0.013,,
1336,0.013,,
1337,0.012,,
1338,0.012,,
1339,0.012,,
1340,0.013,,
1341,0.013,,
1342,0.012,,
1343,0.011,,
1344,0.010,,
1345,0.011,,
1346,0.011,,
1347,0.012,,
1348,0.012,,
1349,0.012,,
1350,0.012,,
1351,0.011,,
1352,0.012,,
1353,0.013,,
1354,0.013,,
1355,0.012,,
1356,0.012,,
1357,0.012,,
1358,0.012,,
1359,0.012,,
1360,0.011,,
1361,0.010,,
1362,0.011,,
1363,0.011,,
1364,0.011,,
1365,0.012,,
1366,0.012,,
1367,0.013,,
1368,0.012,,
1369,0.012,,
1370,0.013,,
1371,0.012,,
1372,0.011,,
1373,0.011,,
1374,0.013,,
1375,0.013,,
1376,0.013,,
1377,0.012,,
1378,0.012,,
1379,0.013,,
1380,0.013,,
1381,0.013,,
1382,0.013,,
1383,0.013,,
1384,0.012,,
1385,0.013,,
1386,0.012,,
1387,0.013,,
1388,0.013,,
1389,0.013,,
1390,0.012,,
1391,0.013,,
1392,0.014,,
1393,0.013,,
1394,0.013,,
1395,0.013,,
1396,0.013,,
1397,0.014,,
1398,0.014,,
1399,0.014,,
1400,0.012,,
1401,0.011,,
1402,0.012,,
1403,0.012,,
1404,0.013,,
1405,0.011,,
1406,0.011,,
1407,0.011,,
1408,0.012,,
1409,0.012,,
1410,0.011,,
1411,0.011,,
1412,0.011,,
1413,0.013,,
1414,0.013,,
1415,0.012,,
1416,0.013,,
1417,0.014,,
1418,0.013,,
1419,0.014,,
1420,0.014,,
1421,0.013,,
1422,0.012,,
1423,0.014,,
1424,0.014,,
1425,0.013,,
1426,0.012,,
1427,0.013,,
1428,0.012,,
1429,0.011,,
1430,0.015,,
1431,0.015,,
1432,0.013,,
1433,0.012,,
1434,0.012,,
1435,0.013,,
1436,0.013,,
1437,0.012,,
1438,0.012,,
1439,0.012,,
1440,0.014,,
1441,0.014,,
1442,0.013,,
1443,0.013,,
1444,0.012,,
1445,0.014,,
1446,0.013,,
1447,0.013,,
1448,0.014,,
1449,0.016,,
1450,0.015,,
1451,0.015,,
1452,0.015,,
1453,0.015,,
1454,0.014,,
1455,0.015,,
1456,0.014,,
1457,0.014,,
